 2026-01-19 19:02:10.436 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
 2026-01-19 19:02:10.457 [main] INFO  com.gzw.kd.KdApplicationTests - Starting KdApplicationTests using Java 1.8.0_181 on 192.168.1.78 with PID 35690 (started by gaozhiwei in /Users/gaozhiwei/kd)
 2026-01-19 19:02:10.461 [main] INFO  com.gzw.kd.KdApplicationTests - The following 1 profile is active: "test"
 2026-01-19 19:02:13.158 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
 2026-01-19 19:02:13.164 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
 2026-01-19 19:02:13.241 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55 ms. Found 0 Redis repository interfaces.
 2026-01-19 19:02:13.648 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=b2de3d73-a1ae-303a-a538-6f1bf37348f8
 2026-01-19 19:02:15.270 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
 2026-01-19 19:02:15.286 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
 2026-01-19 19:02:15.287 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
 2026-01-19 19:02:15.288 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
 2026-01-19 19:02:15.707 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
 2026-01-19 19:02:15.708 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4813 ms
 2026-01-19 19:02:17.033 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
 2026-01-19 19:02:21.198 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} inited
 2026-01-19 19:02:21.263 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
 2026-01-19 19:02:21.272 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
 2026-01-19 19:02:21.278 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
 2026-01-19 19:02:21.304 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
 2026-01-19 19:02:21.426 [main] INFO  com.gzw.kd.KdApplicationTests - Starting KdApplicationTests using Java 1.8.0_181 on 192.168.1.78 with PID 35690 (started by gaozhiwei in /Users/gaozhiwei/kd)
 2026-01-19 19:02:21.427 [main] INFO  com.gzw.kd.KdApplicationTests - The following 1 profile is active: "test"
 2026-01-19 19:02:22.332 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
 2026-01-19 19:02:22.333 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
 2026-01-19 19:02:22.367 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 0 Redis repository interfaces.
 2026-01-19 19:02:22.419 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=b2de3d73-a1ae-303a-a538-6f1bf37348f8
 2026-01-19 19:02:22.854 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
 2026-01-19 19:02:22.855 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-2"]
 2026-01-19 19:02:22.855 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
 2026-01-19 19:02:22.856 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
 2026-01-19 19:02:22.871 [main] INFO  o.a.c.c.ContainerBase.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
 2026-01-19 19:02:22.872 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1441 ms
 2026-01-19 19:02:23.264 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-3} inited
 2026-01-19 19:02:27.352 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-4} inited
 2026-01-19 19:02:27.359 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
 2026-01-19 19:02:27.367 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-3} closing ...
 2026-01-19 19:02:27.368 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-3} closed
 2026-01-19 19:02:27.381 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
